Index,ScoredDescionForest,Index (2),scoredLogistic,Index (3),ScoredBayes,Index (2) (2),scoredLocally,Index (4),Scored_Descion,Index (2) (3),Scored Labels,Index (5),D_y,ScoredAverage,prediction,failed,D_y_str,predictionStr,result
16626,0,16626,0,16626,0,16626,1,16626,0,16626,1,16626,0,1,1,0,No,Yes,No-Yes
36462,0,36462,1,36462,1,36462,1,36462,0,36462,1,36462,1,1,1,0,Yes,Yes,Yes-Yes
6815,0,6815,1,6815,1,6815,1,6815,0,6815,0,6815,1,0,1,0,Yes,Yes,Yes-Yes
10947,0,10947,0,10947,0,10947,0,10947,0,10947,0,10947,0,0,0,0,No,No,No-No
36794,0,36794,0,36794,0,36794,1,36794,0,36794,0,36794,0,1,1,0,No,Yes,No-Yes
31127,0,31127,1,31127,1,31127,0,31127,0,31127,0,31127,0,1,1,0,No,Yes,No-Yes
30635,0,30635,1,30635,1,30635,1,30635,0,30635,0,30635,0,0,1,0,No,Yes,No-Yes
21965,0,21965,0,21965,0,21965,0,21965,0,21965,0,21965,0,0,0,0,No,No,No-No
19028,0,19028,1,19028,1,19028,1,19028,0,19028,0,19028,0,1,1,0,No,Yes,No-Yes
8304,0,8304,1,8304,0,8304,0,8304,0,8304,0,8304,0,0,1,0,No,Yes,No-Yes
29966,0,29966,0,29966,1,29966,0,29966,0,29966,0,29966,0,1,1,0,No,Yes,No-Yes
8416,1,8416,0,8416,0,8416,0,8416,1,8416,0,8416,0,0,1,0,No,Yes,No-Yes
36216,0,36216,1,36216,1,36216,1,36216,0,36216,0,36216,0,1,1,0,No,Yes,No-Yes
5361,0,5361,0,5361,0,5361,0,5361,0,5361,0,5361,0,0,0,0,No,No,No-No
5512,0,5512,0,5512,0,5512,0,5512,0,5512,0,5512,0,0,0,0,No,No,No-No
32224,0,32224,1,32224,1,32224,1,32224,0,32224,0,32224,0,1,1,0,No,Yes,No-Yes
13904,0,13904,0,13904,0,13904,0,13904,0,13904,0,13904,0,1,1,0,No,Yes,No-Yes
12418,1,12418,1,12418,1,12418,1,12418,1,12418,1,12418,0,1,1,0,No,Yes,No-Yes
28057,1,28057,1,28057,1,28057,1,28057,1,28057,1,28057,1,1,1,0,Yes,Yes,Yes-Yes
30624,0,30624,1,30624,1,30624,0,30624,0,30624,0,30624,0,0,1,0,No,Yes,No-Yes
17801,0,17801,0,17801,0,17801,0,17801,0,17801,0,17801,0,1,1,0,No,Yes,No-Yes
12627,0,12627,0,12627,0,12627,0,12627,0,12627,0,12627,0,0,0,0,No,No,No-No
24596,0,24596,0,24596,1,24596,0,24596,0,24596,0,24596,0,1,1,0,No,Yes,No-Yes
26421,1,26421,1,26421,1,26421,1,26421,1,26421,1,26421,0,1,1,0,No,Yes,No-Yes
37790,1,37790,1,37790,1,37790,1,37790,1,37790,1,37790,1,1,1,0,Yes,Yes,Yes-Yes
33585,0,33585,1,33585,1,33585,1,33585,0,33585,0,33585,0,1,1,0,No,Yes,No-Yes
12866,0,12866,0,12866,0,12866,0,12866,0,12866,0,12866,0,1,1,0,No,Yes,No-Yes
1942,0,1942,0,1942,0,1942,0,1942,0,1942,0,1942,0,0,0,0,No,No,No-No
20338,0,20338,0,20338,0,20338,0,20338,0,20338,0,20338,0,0,0,0,No,No,No-No
36745,1,36745,1,36745,1,36745,1,36745,1,36745,1,36745,0,1,1,0,No,Yes,No-Yes
16522,0,16522,0,16522,0,16522,0,16522,0,16522,0,16522,0,1,1,0,No,Yes,No-Yes
20741,0,20741,0,20741,0,20741,0,20741,0,20741,0,20741,0,0,0,0,No,No,No-No
963,0,963,1,963,0,963,0,963,0,963,0,963,0,0,1,0,No,Yes,No-Yes
19051,0,19051,0,19051,0,19051,0,19051,0,19051,0,19051,1,1,1,0,Yes,Yes,Yes-Yes
23269,1,23269,1,23269,1,23269,1,23269,1,23269,0,23269,0,1,1,0,No,Yes,No-Yes
37541,1,37541,1,37541,1,37541,1,37541,1,37541,1,37541,1,1,1,0,Yes,Yes,Yes-Yes
25387,0,25387,0,25387,0,25387,0,25387,0,25387,0,25387,0,1,1,0,No,Yes,No-Yes
15904,0,15904,0,15904,0,15904,0,15904,0,15904,0,15904,0,0,0,0,No,No,No-No
17454,0,17454,0,17454,0,17454,0,17454,0,17454,0,17454,0,0,0,0,No,No,No-No
11468,0,11468,0,11468,0,11468,0,11468,0,11468,0,11468,0,1,1,0,No,Yes,No-Yes
31825,0,31825,1,31825,1,31825,1,31825,0,31825,0,31825,0,1,1,0,No,Yes,No-Yes
24618,0,24618,0,24618,0,24618,0,24618,0,24618,0,24618,0,0,0,0,No,No,No-No
16688,0,16688,0,16688,0,16688,0,16688,0,16688,0,16688,0,1,1,0,No,Yes,No-Yes
