index_col;age;job;education;default;contact;month;campaign;pdays;previous;poutcome;emp.var.rate;cons.price.idx;cons.conf.idx;euribor3m;nr.employed;y;M1;M2;KNeighbors;Quadratic;MLPClass;AdaBoost;forest;naive_by;prediction;compareOrigin
19402;35;1;4;0;1;8;5;999;0;2;1.4;93.444;-36.1;4.967;5228.1;0;1;0;0;0;0;0;0;0;0;No-No
27739;38;10;4;0;1;3;3;999;0;2;-1.8;92.84299999999999;-50.0;1.757;5099.1;0;1;0;1;1;1;1;1;1;6;No-Yes
17016;35;8;3;0;1;7;5;999;0;2;1.4;93.91799999999999;-42.7;4.962;5228.1;0;0;1;1;0;0;0;0;0;1;No-Yes
33210;32;1;4;0;1;5;5;999;0;2;-1.8;92.89299999999999;-46.2;1.291;5099.1;0;0;1;0;0;1;0;0;1;2;No-Yes
19656;46;10;4;2;1;8;3;999;0;2;1.4;93.444;-36.1;4.968;5228.1;0;1;0;0;0;0;0;0;0;0;No-No
25159;36;5;4;0;0;11;4;999;0;2;-0.1;93.2;-42.0;4.1530000000000005;5195.8;0;1;0;0;0;0;0;0;0;0;No-No
38738;36;7;3;0;1;11;1;999;2;1;-3.4;92.649;-30.1;0.715;5017.5;0;0;0;1;1;1;1;1;1;6;No-Yes
36241;36;10;4;0;1;6;1;999;0;2;-2.9;92.963;-40.8;1.266;5076.2;1;1;0;1;1;1;1;1;1;6;Yes-Yes
23371;40;10;4;2;1;8;4;999;0;2;1.4;93.444;-36.1;4.9639999999999995;5228.1;0;0;1;0;0;0;0;0;0;0;No-No
15727;35;8;3;2;1;7;2;999;0;2;1.4;93.91799999999999;-42.7;4.96;5228.1;0;0;0;0;0;0;0;0;0;0;No-No
31876;28;8;3;2;1;5;3;999;1;1;-1.8;92.89299999999999;-46.2;1.327;5099.1;0;1;0;0;0;1;0;0;1;2;No-Yes
7131;54;6;3;0;0;5;1;999;0;2;1.1;93.994;-36.4;4.86;5191.0;0;1;0;1;0;0;0;0;0;1;No-Yes
1966;54;1;2;2;0;5;2;999;0;2;1.1;93.994;-36.4;4.855;5191.0;0;1;0;1;0;0;0;0;0;1;No-Yes
12256;39;1;3;0;0;7;1;999;0;2;1.4;93.91799999999999;-42.7;4.966;5228.1;0;0;1;0;0;0;0;0;0;0;No-No
8910;41;1;4;0;0;6;2;999;0;2;1.4;94.465;-41.8;4.8660000000000005;5228.1;0;1;0;0;0;0;0;0;0;0;No-No
1241;54;10;3;0;0;5;1;999;0;2;1.1;93.994;-36.4;4.855;5191.0;0;1;0;1;0;0;0;1;0;2;No-Yes
29598;29;2;2;0;1;4;1;999;0;2;-1.8;93.075;-47.1;1.405;5099.1;0;1;0;1;0;1;1;0;1;4;No-Yes
25888;29;5;4;0;1;11;1;999;1;1;-0.1;93.2;-42.0;4.12;5195.8;0;1;0;0;1;1;0;0;1;3;No-Yes
20476;40;10;3;0;1;8;1;999;0;2;1.4;93.444;-36.1;4.966;5228.1;0;1;0;1;0;1;0;0;0;2;No-Yes
37424;36;1;4;0;1;8;1;999;0;2;-2.9;92.20100000000001;-31.4;0.879;5076.2;0;0;1;1;1;1;1;0;1;5;No-Yes
5208;35;2;4;0;0;5;1;999;0;2;1.1;93.994;-36.4;4.857;5191.0;0;1;0;1;0;0;0;0;0;1;No-Yes
30807;40;1;3;0;1;5;6;999;0;2;-1.8;92.89299999999999;-46.2;1.344;5099.1;0;0;1;0;0;1;0;0;0;1;No-Yes
24405;36;11;3;0;1;11;1;999;0;2;-0.1;93.2;-42.0;4.191;5195.8;0;1;0;0;1;1;0;0;0;2;No-Yes
37560;25;9;3;0;1;8;1;999;0;2;-2.9;92.20100000000001;-31.4;0.8690000000000001;5076.2;0;0;1;1;1;1;1;1;1;6;No-Yes
38735;72;6;4;0;0;11;2;999;0;2;-3.4;92.649;-30.1;0.715;5017.5;0;1;0;1;1;1;1;1;1;6;No-Yes
17475;54;2;2;0;1;7;1;999;0;2;1.4;93.91799999999999;-42.7;4.962;5228.1;0;1;0;1;0;0;0;0;0;1;No-Yes
8708;44;2;2;0;0;6;2;999;0;2;1.4;94.465;-41.8;4.864;5228.1;0;0;0;0;0;0;0;0;0;0;No-No
17375;46;8;3;2;1;7;2;999;0;2;1.4;93.91799999999999;-42.7;4.962;5228.1;0;1;0;0;0;0;0;0;0;0;No-No
29064;41;1;3;0;1;4;3;999;0;2;-1.8;93.075;-47.1;1.405;5099.1;0;0;1;0;1;1;1;0;1;4;No-Yes
36051;36;8;3;0;1;5;1;999;2;1;-1.8;92.89299999999999;-46.2;1.266;5099.1;0;1;0;0;1;1;0;0;1;3;No-Yes
40847;40;1;3;0;0;9;1;999;1;1;-1.1;94.199;-37.5;0.8859999999999999;4963.6;0;0;0;0;1;1;0;0;1;3;No-Yes
21436;48;5;4;0;1;8;1;999;0;2;1.4;93.444;-36.1;4.963;5228.1;0;1;0;0;0;1;0;0;0;1;No-Yes
11808;40;10;4;0;0;6;3;999;0;2;1.4;94.465;-41.8;4.959;5228.1;0;0;1;0;0;0;0;0;0;0;No-No
3869;28;1;3;0;0;5;2;999;0;2;1.1;93.994;-36.4;4.859;5191.0;0;0;1;0;0;0;0;0;0;0;No-No
14706;39;2;2;2;1;7;5;999;0;2;1.4;93.91799999999999;-42.7;4.961;5228.1;0;1;0;1;0;0;0;1;0;2;No-Yes
36540;36;5;4;0;1;6;2;3;1;3;-2.9;92.963;-40.8;1.26;5076.2;1;0;1;1;1;1;1;1;1;6;Yes-Yes
33952;37;1;3;0;1;5;1;999;0;2;-1.8;92.89299999999999;-46.2;1.281;5099.1;0;0;1;1;0;1;0;0;1;3;No-Yes
12640;43;3;2;0;1;7;30;999;0;2;1.4;93.91799999999999;-42.7;4.96;5228.1;0;1;0;0;0;0;0;0;0;0;No-No
3205;59;1;3;0;0;5;1;999;0;2;1.1;93.994;-36.4;4.86;5191.0;0;1;0;0;0;0;0;0;0;0;No-No
5903;35;2;3;0;0;5;2;999;0;2;1.1;93.994;-36.4;4.857;5191.0;0;1;0;0;0;0;0;0;0;0;No-No
7252;40;2;2;2;0;5;5;999;0;2;1.1;93.994;-36.4;4.86;5191.0;0;1;0;0;0;0;0;0;0;0;No-No
5163;55;4;4;0;0;5;1;999;0;2;1.1;93.994;-36.4;4.857;5191.0;0;1;0;1;0;0;0;0;0;1;No-Yes
6895;39;2;2;2;0;5;1;999;0;2;1.1;93.994;-36.4;4.86;5191.0;0;1;0;0;0;0;0;0;0;0;No-No
6806;32;2;2;0;0;5;2;999;0;2;1.1;93.994;-36.4;4.857;5191.0;0;1;0;0;0;0;0;0;0;0;No-No
39572;30;1;4;0;1;5;1;6;1;3;-1.8;93.876;-40.0;0.6679999999999999;5008.7;0;0;1;1;1;1;1;1;1;6;No-Yes
10934;51;5;4;2;0;6;1;999;0;2;1.4;94.465;-41.8;4.962;5228.1;0;1;0;0;0;0;0;0;0;0;No-No
32837;33;1;3;0;1;5;1;999;1;1;-1.8;92.89299999999999;-46.2;1.2990000000000002;5099.1;0;1;0;0;0;1;0;0;1;2;No-Yes
34744;37;2;3;0;0;5;4;999;0;2;-1.8;92.89299999999999;-46.2;1.266;5099.1;1;0;0;1;0;1;0;0;0;2;Yes-Yes
31201;32;2;3;0;1;5;1;999;0;2;-1.8;92.89299999999999;-46.2;1.334;5099.1;0;1;0;0;0;1;0;0;1;2;No-Yes
41006;37;4;4;0;1;10;1;6;2;3;-1.1;94.601;-49.5;1.025;4963.6;1;1;0;1;1;1;1;1;1;6;Yes-Yes
9110;54;3;3;0;0;6;6;999;0;2;1.4;94.465;-41.8;4.967;5228.1;0;1;0;0;0;0;0;0;0;0;No-No
35996;59;7;4;0;1;5;1;999;1;1;-1.8;92.89299999999999;-46.2;1.266;5099.1;0;1;0;0;1;1;0;0;1;3;No-Yes
10231;32;10;4;0;0;6;2;999;0;2;1.4;94.465;-41.8;4.96;5228.1;0;1;0;0;0;0;0;0;0;0;No-No
38399;70;6;2;0;1;10;2;999;0;2;-3.4;92.431;-26.9;0.737;5017.5;0;1;0;1;1;1;1;1;1;6;No-Yes
36124;34;1;4;0;1;5;1;7;1;3;-1.8;92.89299999999999;-46.2;1.27;5099.1;1;1;0;1;1;1;1;1;1;6;Yes-Yes
38390;58;2;3;0;1;10;1;999;1;1;-3.4;92.431;-26.9;0.737;5017.5;0;1;0;0;1;1;1;0;1;4;No-Yes
15800;39;7;3;0;1;7;2;999;0;2;1.4;93.91799999999999;-42.7;4.96;5228.1;0;1;0;0;0;0;0;0;0;0;No-No
5523;28;2;2;0;0;5;2;999;0;2;1.1;93.994;-36.4;4.857;5191.0;0;1;0;0;0;0;0;0;0;0;No-No
33522;28;9;4;2;1;5;4;999;0;2;-1.8;92.89299999999999;-46.2;1.291;5099.1;0;0;1;0;0;1;0;0;0;1;No-Yes
34051;31;2;3;2;1;5;3;999;0;2;-1.8;92.89299999999999;-46.2;1.281;5099.1;0;1;0;0;0;1;0;0;0;1;No-Yes
17587;57;1;4;0;1;7;4;999;0;2;1.4;93.91799999999999;-42.7;4.962;5228.1;0;1;0;0;0;0;0;0;0;0;No-No
37256;29;1;3;0;1;8;1;999;2;1;-2.9;92.20100000000001;-31.4;0.8809999999999999;5076.2;0;0;1;0;1;1;1;0;1;4;No-Yes
33222;57;6;3;0;1;5;3;999;1;1;-1.8;92.89299999999999;-46.2;1.291;5099.1;0;0;0;1;0;1;0;0;1;3;No-Yes
34363;34;2;3;0;1;5;3;999;0;2;-1.8;92.89299999999999;-46.2;1.266;5099.1;0;0;1;1;0;1;0;0;1;3;No-Yes
32159;34;3;4;0;1;5;5;999;0;2;-1.8;92.89299999999999;-46.2;1.3130000000000002;5099.1;0;1;0;0;0;1;0;0;1;2;No-Yes
20510;35;10;3;2;1;8;1;999;0;2;1.4;93.444;-36.1;4.966;5228.1;0;1;0;0;0;0;0;0;0;0;No-No
38092;49;11;3;0;1;9;1;999;1;1;-3.4;92.37899999999999;-29.8;0.768;5017.5;0;1;0;1;1;1;1;1;1;6;No-Yes
16165;35;8;4;0;1;7;2;999;0;2;1.4;93.91799999999999;-42.7;4.961;5228.1;1;0;0;1;0;0;0;1;0;2;Yes-Yes
32016;51;7;3;0;1;5;2;999;1;1;-1.8;92.89299999999999;-46.2;1.327;5099.1;0;1;0;0;1;1;0;0;1;3;No-Yes
27160;46;10;4;0;1;11;5;999;1;1;-0.1;93.2;-42.0;4.021;5195.8;1;0;0;0;0;1;0;0;1;2;Yes-Yes
3565;35;1;4;0;0;5;1;999;0;2;1.1;93.994;-36.4;4.859;5191.0;0;1;0;0;0;0;0;0;0;0;No-No
16975;41;2;3;0;1;7;6;999;0;2;1.4;93.91799999999999;-42.7;4.962;5228.1;0;1;0;0;0;0;0;1;0;1;No-Yes
20963;50;10;4;0;1;8;1;999;0;2;1.4;93.444;-36.1;4.9639999999999995;5228.1;0;0;1;0;0;1;0;0;0;1;No-Yes
24359;37;1;3;0;1;11;2;999;0;2;-0.1;93.2;-42.0;4.191;5195.8;0;1;0;0;1;1;0;0;0;2;No-Yes
2543;56;11;3;2;0;5;2;999;0;2;1.1;93.994;-36.4;4.856;5191.0;0;1;0;1;0;0;0;0;0;1;No-Yes
38388;59;4;2;0;0;10;1;999;0;2;-3.4;92.431;-26.9;0.737;5017.5;0;1;0;1;1;1;1;0;1;5;No-Yes
33656;36;2;3;2;0;5;1;999;1;1;-1.8;92.89299999999999;-46.2;1.281;5099.1;0;1;0;0;0;1;0;0;0;1;No-Yes
37058;36;10;3;0;1;7;1;999;1;1;-2.9;92.469;-33.6;1.0290000000000001;5076.2;0;0;1;0;1;1;1;1;1;5;No-Yes
23791;31;10;4;0;1;8;3;999;0;2;1.4;93.444;-36.1;4.963;5228.1;0;0;0;1;0;0;0;0;0;1;No-Yes
10984;42;5;4;0;0;6;2;999;0;2;1.4;94.465;-41.8;4.962;5228.1;0;1;0;1;0;0;0;0;0;1;No-Yes
17033;51;4;3;0;1;7;2;999;0;2;1.4;93.91799999999999;-42.7;4.962;5228.1;0;0;0;0;0;0;0;0;0;0;No-No
4419;41;4;3;2;0;5;2;999;0;2;1.1;93.994;-36.4;4.856;5191.0;0;1;0;0;0;0;0;0;0;0;No-No
34885;28;3;3;2;1;5;1;999;0;2;-1.8;92.89299999999999;-46.2;1.25;5099.1;0;1;0;0;0;1;0;0;0;1;No-Yes
36368;24;9;3;0;1;6;1;3;1;3;-2.9;92.963;-40.8;1.262;5076.2;0;0;1;1;1;1;1;1;1;6;No-Yes
27146;45;10;4;0;1;11;1;999;1;1;-0.1;93.2;-42.0;4.021;5195.8;0;0;1;1;0;1;0;0;1;3;No-Yes
40445;73;6;2;2;1;8;2;999;1;1;-1.7;94.027;-38.3;0.904;4991.6;0;0;0;1;1;1;0;1;1;5;No-Yes
9258;46;10;4;0;0;6;3;999;0;2;1.4;94.465;-41.8;4.967;5228.1;0;0;0;0;0;0;0;0;0;0;No-No
12115;28;5;4;0;0;6;4;999;0;2;1.4;94.465;-41.8;4.947;5228.1;0;1;0;1;0;0;0;0;0;1;No-Yes
27541;56;1;4;0;1;11;2;999;0;2;-0.1;93.2;-42.0;4.021;5195.8;1;1;0;0;0;1;0;0;0;1;Yes-Yes
13767;23;2;3;0;1;7;2;999;0;2;1.4;93.91799999999999;-42.7;4.963;5228.1;0;0;1;1;0;0;0;0;0;1;No-Yes
7351;32;2;3;0;0;5;1;999;0;2;1.1;93.994;-36.4;4.864;5191.0;0;0;1;0;0;0;0;0;0;0;No-No
